stop_id,stop_code,stop_name,stop_lat,stop_lon
105146,105146,STOKESWOOD AVE SE@ORMEWOOD AVE SE,33.734027,-84.344667
105148,105148,STOKESWOOD AVE SE@MILTON PL SE,33.73495,-84.34464
105150,105150,STOKESWOOD AVE SE@NEWTON AVE SE,33.737313,-84.344679
105151,105151,STOKESWOOD AVE SE@PORTLAND AVE SE,33.739022,-84.344668
105152,105152,FLAT SHOALS AVE SE@NEWTON AVE SE,33.738065,-84.342842
105153,105153,STOKESWOOD AVE SE@PORTLAND AVE SE,33.739163,-84.34482
105154,105154,STOKESWOOD AVE SE@GREENLEAF RD SE,33.729364,-84.344796
105156,105156,CLOVERDALE DR SE@FLAT SHOALS AVE,33.731916,-84.338233
105158,105158,FLAT SHOALS AVE SE@CAVANAUGH AVE SE,33.731227,-84.3372
105160,105160,BOULDERCREST DR SE @ FLAT SHOALS RD,33.72995,-84.335724
105161,105161,BOULDERCREST DR@WINFIELD AVE,33.72902,-84.33418
105162,105162,BOULDERCREST DR SE@BLACK OAK DR SE,33.72911,-84.3345
105164,105164,BOULDERCREST DR SE@STALLINGS AVE SE,33.727795,-84.333918
105166,105166,BOULDERCREST DR SE@WILLOW PL,33.72709,-84.33357
105170,105170,HOSEA L WILLIAMS DR @ OAKVIEW RD NE,33.751116,-84.312831
105172,105172,HOSEA L WILLIAMS DR @ LAKEVIEW DR NE,33.751125,-84.314222
105174,105174,BOULEVARD DR @ ROCKYFORD RD NE,33.751144,-84.316101
105176,105176,BOULEVARD DR @ BATES AVE NE,33.751144,-84.31739
105178,105178,BOULEVARD DR @ BRANHAM ST NE,33.751161,-84.318723
105180,105180,BOULEVARD DR @ NORWOOD AVE NE,33.751171,-84.320145
105182,105182,HOSEA L WILLIAMS DR @ KIRKWOOD RD,33.751175,-84.321533
105184,105184,HOSEA L WILLIAMS DR @ DOYLE ST SE,33.75272,-84.324722
105186,105186,HOSEA L WILLIAMS DR @ WARREN ST NE,33.753239,-84.325806
105188,105188,HOSEA L WILLIAMS DR @ ROGERS ST NE,33.75339,-84.329028
105190,105190,HOSEA L WILLIAMS DR @ CLAY ST NE,33.75339,-84.330333
105192,105192,HOSEA L WILLIAMS DR @ CLIFTON ST NE,33.753399,-84.331616
105194,105194,HOSEA L WILLIAMS DR @ WYMAN ST NE,33.753408,-84.333007
105196,105196,HOSEA L WILLIAMS DR @ WOODBINE AVE,33.753417,-84.334573
105198,105198,HOSEA L WILLIAMS DR @ ANNISTON AVE SE,33.753443,-84.337573
105200,105200,HOSEA L WILLIAMS DR SE @ MAYSON AVE,33.753443,-84.338497
105202,105202,MAYSON AVE NE@HARDEE ST NE,33.755368,-84.338595
105203,105203,MAYSON AVE NE@HARDEE ST NE,33.755439,-84.338748
105208,105208,HOSEA L WILLIAMS DR @ HOWARD ST NE,33.751984,-84.323425
105210,105210,MEMORIAL DR SE@TRENTON ST SE,33.747552,-84.345855
105212,105212,MEMORIAL DR SE@HAAS AVE SE,33.747535,-84.344388
105214,105214,MEMORIAL DR SE@PATTERSON AVE SE,33.747535,-84.343247
105216,105216,MEMORIAL DR SE@MEMORIAL TER SE,33.747526,-84.341942
105218,105218,MEMORIAL DR SE@DOUGLAS ST SE,33.747313,-84.319886
105220,105220,MEMORIAL DR SE@2154,33.747295,-84.317255
105222,105222,MEMORIAL DR SE @ E LAKE BLVD SE,33.747285,-84.314516
105226,105226,MEMORIAL DR SE@DIXIE ST SE,33.747473,-84.335637
105228,105228,MEMORIAL DR SE @ WILKINSON DR SE,33.747447,-84.328539
105230,105230,MEMORIAL DR SE @ CLAY ST SE,33.747566,-84.330246
105232,105232,MEMORIAL DR SE @ CLIFTON ST SE,33.747524,-84.331581
105234,105234,MEMORIAL DR SE @ WYMAN ST SE,33.747627,-84.332749
105236,105236,MEMORIAL DR SE@DIXIE ST SE,33.747545,-84.3358
105238,105238,MEMORIAL DR SE@1560,33.747635,-84.337524
105240,105240,MEMORIAL DR SE@LAMON AVE SE,33.747555,-84.338493
105242,105242,MEMORIAL DR SE@EASTSIDE AVE SE,33.747654,-84.339737
105244,105244,MEMORIAL DR SE@MEMORIAL TER SE,33.747589,-84.341877
105246,105246,MEMORIAL DR SE@PATTERSON AVE SE,33.747643,-84.343185
105248,105248,MEMORIAL DR SE@HAAS AVE SE,33.747612,-84.344353
105250,105250,MEMORIAL DR SE@DAHLGREEN ST SE,33.747612,-84.345329
105251,105251,GLENWOOD AVE SE@TERRY MILL RD SE,33.739668,-84.322115
105252,105252,GLENWOOD AVE SE@LOMITA RD,33.73991,-84.320637
105254,105254,GLENWOOD AVE SE@LOMITA RD SE,33.740017,-84.320694
105260,105260,GLENWOOD AVE @ E LAKE BLVD,33.740002,-84.314038
